url_aviso,barrio,precio_detalle,estado_scraping
https://www.fincaraiz.com.co/casa-en-venta-en-los-alpes-pereira/193173511,"Los alpes, Risaralda",$ 1.300.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/194211225,"Arabia, Risaralda",$ 950.000.000,ok
https://www.fincaraiz.com.co/oficina-en-venta-en-pinares-pereira/193814544,"Pinares, Risaralda",$ 280.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/193301597,"Sector lago uribe, Risaralda",$ 1.100.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-tribunas-corcega-pereira/194166422,"Tribunas corcega, Risaralda",$ 580.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193861008,"Los corales, Risaralda",$ 421.520.279,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193723257,"Cerritos, Risaralda",$ 1.100.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-los-corales-pereira/193566880,"Los corales, Risaralda",$ 700.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/194173049,"Condina, Risaralda",$ 325.000.000,ok
https://www.fincaraiz.com.co/edificio-en-venta-en-la-victoria/193937440,"Ricardo ramirez carmona, Risaralda",$ 1.100.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-terminal-pereira/193363208,"Bosques de la salle, Risaralda",$ 249.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-galicia-pereira/194198688,"Galicia, Risaralda",$ 510.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-pereira/193747669,"San jose, Risaralda",$ 410.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-sur-pereira/192499099,"Avenida Sur, Risaralda",$ 730.000.000,ok
https://www.fincaraiz.com.co/finca-en-venta-en-la-florida-pereira/191898067,"La florida, Risaralda",$ 1.200.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192628055,"Cerritos, Risaralda",$ 750.000.000,ok
