precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso
$ 900.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,3 Baños,126 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192845207
Desde $ 664.600.000,"Casa en Pereira, Risaralda","Riviera verde etapa 2, casa en venta en galicia, pereira",3 Habs.,3 Baños,83.27 m²,https://www.fincaraiz.com.co/proyectos-vivienda/riviera-verde-etapa-2-casas-en-venta-en-galicia-pereira/10122326
$ 2.900.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",5 Habs.,5 Baños,500 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/194081159
Desde $ 473.324.399,"Apartamento en Pereira, Risaralda","Senderos de cerritos, apartamento en venta en galicia, pereira",3 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/proyectos-vivienda/senderos-de-cerritos-apartamentos-en-venta-en-galicia-pereira/15018000
$ 270.000.000,"Casa en Pereira, Risaralda","Casa en venta en villa del prado, pereira",3 Habs.,1 Baño,72 m²,https://www.fincaraiz.com.co/casa-en-venta-en-villa-del-prado-pereira/194170055
$ 800.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",3 Habs.,4 Baños,123 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/193578645
$ 1.250.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",4 Habs.,4 Baños,170 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193934113
Desde $ 241.000.000,"Apartamento en Pereira, Risaralda","Camelia, apartamento en venta en la julia, pereira",2 Habs.,1 Baño,53 m²,https://www.fincaraiz.com.co/proyectos-vivienda/camelia-apartamentos-en-venta-en-la-julia-pereira/15018199
$ 240.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en circunvalar - alamos, pereira",3 Habs.,2 Baños,110 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-circunvalar-alamos-pereira/193668855
$ 490.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,72 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193173505
$ 290.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,3 Habs.,2 Baños,550 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/194184553
$ 840.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",10500 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193415777
